 TITLE="SURFACE DATA."
 variables="z","Theta","P","U","V","W","T","M"
 ZONE T="POST", I=     1, J=   200, K=   120
 0.000000000D+00  0.121739133D-08  0.437986438D+01 -0.418391556D+00  0.000000000D+00 -0.108420217D-18  0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.869567629D-02  0.442931697D+01 -0.427214861D+00 -0.433680869D-18  0.542101086D-19  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.175229204D-01  0.448106633D+01 -0.436724633D+00  0.867361738D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.264852946D-01  0.453519156D+01 -0.446767658D+00 -0.867361738D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.355864800D-01  0.459175808D+01 -0.457100391D+00 -0.867361738D-18  0.108420217D-18  0.271050543D-19  0.100000000D+01
 0.000000000D+00  0.448303057D-01  0.465081436D+01 -0.467372507D+00  0.000000000D+00  0.000000000D+00 -0.542101086D-19  0.100000000D+01
 0.000000000D+00  0.542207552D-01  0.471238898D+01 -0.476975769D+00  0.000000000D+00 -0.542101086D-19 -0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.637619559D-01  0.477430807D+01 -0.485131592D+00  0.346944695D-17 -0.108420217D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.734582303D-01  0.483607331D+01 -0.491195917D+00  0.346944695D-17  0.108420217D-18  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.833140529D-01  0.489753348D+01 -0.494620889D+00 -0.346944695D-17  0.433680869D-18 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.933341294D-01  0.495854459D+01 -0.494901925D+00  0.693889390D-17 -0.433680869D-18  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.103523330D+00  0.501897448D+01 -0.491572976D+00  0.346944695D-17  0.867361738D-18  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.113886749D+00  0.507870675D+01 -0.484210700D+00  0.693889390D-17  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.124429750D+00  0.513764368D+01 -0.472522408D+00  0.346944695D-17 -0.173472348D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.135157894D+00  0.519570845D+01 -0.456260771D+00  0.000000000D+00  0.867361738D-18  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.146077024D+00  0.525284646D+01 -0.435259014D+00 -0.346944695D-17 -0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.157193281D+00  0.530902034D+01 -0.409462482D+00 -0.346944695D-17  0.346944695D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.168513091D+00  0.536420747D+01 -0.378882200D+00  0.693889390D-17 -0.346944695D-17  0.173472348D-17  0.100000000D+01
 0.000000000D+00  0.180043193D+00  0.541840287D+01 -0.343593568D+00 -0.693889390D-17 -0.693889390D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.191790679D+00  0.547161846D+01 -0.303709537D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.203763024D+00  0.552388217D+01 -0.259385198D+00 -0.693889390D-17  0.000000000D+00 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.215968089D+00  0.557523753D+01 -0.210826203D+00  0.000000000D+00  0.346944695D-17  0.130104261D-17  0.100000000D+01
 0.000000000D+00  0.228414125D+00  0.562574136D+01 -0.158313796D+00  0.000000000D+00  0.693889390D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.241109935D+00  0.567546273D+01 -0.102228098D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.254064714D+00  0.572447205D+01 -0.430686586D-01 -0.346944695D-17  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.267288242D+00  0.263124679D+01  0.185420625D-01 -0.346944695D-17 -0.346944695D-17  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.280790808D+00  0.267904687D+01  0.818393007D-01 -0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.294583441D+00  0.272635727D+01  0.145885110D+00  0.000000000D+00 -0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.308677752D+00  0.277325797D+01  0.209514677D+00 -0.346944695D-17 -0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.323086503D+00  0.281982873D+01  0.271323472D+00  0.693889390D-17  0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.337823164D+00  0.286614689D+01  0.329672903D+00  0.173472348D-17 -0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.352902384D+00  0.291227727D+01  0.382780641D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.368339607D+00  0.295826999D+01  0.428818584D+00  0.173472348D-17  0.000000000D+00  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.384151397D+00  0.300416722D+01  0.466060460D+00  0.000000000D+00 -0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.400355416D+00  0.305000338D+01  0.492969513D+00  0.433680869D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.416970511D+00  0.309580527D+01  0.508398473D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.434016798D+00  0.314159265D+01  0.511529446D+00  0.000000000D+00 -0.352365706D-18 -0.542101086D-19  0.100000000D+01
 0.000000000D+00  0.451515803D+00  0.318738004D+01  0.501994312D+00  0.000000000D+00 -0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.469490582D+00  0.323318193D+01  0.480197757D+00  0.433680869D-18 -0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.487965752D+00  0.327901808D+01  0.446965635D+00 -0.867361738D-18  0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.506967661D+00  0.332491531D+01  0.403464615D+00 -0.173472348D-17  0.346944695D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.526524601D+00  0.337090801D+01  0.351238042D+00 -0.173472348D-17  0.346944695D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.546666852D+00  0.341703841D+01  0.292029738D+00 -0.173472348D-17 -0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.567426864D+00  0.346335668D+01  0.227665782D+00  0.000000000D+00 -0.346944695D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.588839458D+00  0.350992736D+01  0.159936398D+00  0.000000000D+00  0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.610941912D+00  0.355682804D+01  0.904717594D-01 -0.693889390D-17 -0.693889390D-17  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.633774366D+00  0.360413846D+01  0.206731502D-01  0.346944695D-17 -0.346944695D-17 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.657380022D+00  0.365193849D+01 -0.483070649D-01  0.346944695D-17 -0.693889390D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.681806392D+00  0.370030591D+01 -0.115536869D+00  0.000000000D+00  0.346944695D-17 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.707104632D+00  0.374931526D+01 -0.180257872D+00 -0.693889390D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.733329813D+00  0.379903660D+01 -0.241845563D+00  0.000000000D+00  0.693889390D-17  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.760540411D+00  0.384954043D+01 -0.299795687D+00  0.138777878D-16  0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.788799322D+00  0.390089583D+01 -0.353716403D+00 -0.693889390D-17  0.000000000D+00  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.818173395D+00  0.395315963D+01 -0.403312206D+00 -0.693889390D-17  0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.848733841D+00  0.400637509D+01 -0.448353767D+00  0.693889390D-17 -0.346944695D-17 -0.173472348D-17  0.100000000D+01
 0.000000000D+00  0.880556294D+00  0.406057049D+01 -0.488658875D+00  0.693889390D-17 -0.346944695D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.913720658D+00  0.411575771D+01 -0.524073124D+00  0.000000000D+00 -0.346944695D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.948311437D+00  0.417193153D+01 -0.554478884D+00  0.000000000D+00 -0.173472348D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.984417091D+00  0.422906951D+01 -0.579804659D+00  0.693889390D-17 -0.173472348D-17 -0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.102213025D+01  0.428713431D+01 -0.600057781D+00 -0.693889390D-17  0.173472348D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.106154682D+01  0.434607118D+01 -0.615328610D+00  0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.110276629D+01  0.440580344D+01 -0.625816882D+00  0.346944695D-17  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.114589169D+01  0.446623337D+01 -0.631807208D+00 -0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.119102646D+01  0.452724449D+01 -0.633616924D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.123827173D+01  0.458870467D+01 -0.631677687D+00  0.000000000D+00 -0.433680869D-18  0.867361738D-18  0.100000000D+01
 0.000000000D+00  0.128772432D+01  0.465046990D+01 -0.626496255D+00  0.346944695D-17  0.000000000D+00 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.133947367D+01  0.471238898D+01 -0.618606448D+00  0.000000000D+00  0.108420217D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.139359891D+01  0.477396362D+01 -0.608684957D+00  0.173472348D-17  0.542101086D-19  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.145016543D+01  0.483301989D+01 -0.597588301D+00 -0.173472348D-17 -0.108420217D-18 -0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.150922170D+01  0.488958642D+01 -0.586029768D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.157079633D+01  0.494371163D+01 -0.574459314D+00  0.867361738D-18  0.000000000D+00 -0.271050543D-19  0.100000000D+01
 0.000000000D+00  0.163271542D+01  0.499546097D+01 -0.563210368D+00  0.000000000D+00  0.000000000D+00  0.542101086D-19  0.100000000D+01
 0.000000000D+00  0.169448066D+01  0.504491355D+01 -0.552511096D+00 -0.867361738D-18  0.108420217D-18  0.108420217D-18  0.100000000D+01
 0.000000000D+00  0.175594083D+01  0.509215896D+01 -0.542501152D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.181695193D+01  0.513729365D+01 -0.533254087D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.187738183D+01  0.518041905D+01 -0.524792671D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.193711409D+01  0.522163852D+01 -0.517105102D+00  0.000000000D+00  0.271050543D-19  0.433680869D-18  0.100000000D+01
